Experiment,Method,Classifier,"Train_MulticlassTruePositiveRate{MLJBase.MacroAvg, OrderedCollections.LittleDict}","Test_MulticlassTruePositiveRate{MLJBase.MacroAvg, OrderedCollections.LittleDict}"
25,ldbkash,CT,1.0,0.6786786786786787
25,ldbkash,LDA,0.7070707070707071,0.5525525525525525
25,ldbkemd,CT,1.0,0.8978978978978979
25,ldbkemd,LDA,0.8282828282828283,0.8608608608608609
23,original,CT,1.0,0.8108108108108109
23,original,LDA,1.0,0.7027027027027026
23,ldbk,CT,1.0,0.8638638638638638
23,ldbk,LDA,0.9191919191919192,0.8508508508508509
23,ldbkash,CT,1.0,0.5505505505505505
23,ldbkash,LDA,0.7272727272727272,0.6306306306306306
23,ldbkemd,CT,1.0,0.8838838838838838
23,ldbkemd,LDA,0.9191919191919192,0.8678678678678678
49,original,CT,1.0,0.8338338338338338
49,original,LDA,1.0,0.7177177177177178
49,ldbk,CT,1.0,0.8928928928928929
49,ldbk,LDA,0.9696969696969697,0.8708708708708709
49,ldbkash,CT,1.0,0.7507507507507508
49,ldbkash,LDA,0.7878787878787877,0.7157157157157158
49,ldbkemd,CT,1.0,0.8928928928928929
49,ldbkemd,LDA,0.9797979797979798,0.8878878878878879
59,original,CT,1.0,0.7817817817817817
59,original,LDA,1.0,0.6976976976976977
59,ldbk,CT,1.0,0.8778778778778777
59,ldbk,LDA,0.888888888888889,0.8628628628628628
59,ldbkash,CT,1.0,0.5425425425425426
59,ldbkash,LDA,0.6767676767676768,0.44744744744744747
59,ldbkemd,CT,1.0,0.8728728728728729
59,ldbkemd,LDA,0.888888888888889,0.8628628628628628
5,original,CT,1.0,0.8398398398398399
5,original,LDA,1.0,0.6776776776776776
5,ldbk,CT,1.0,0.893893893893894
5,ldbk,LDA,0.888888888888889,0.8568568568568568
5,ldbkash,CT,1.0,0.7117117117117117
5,ldbkash,LDA,0.6666666666666666,0.5205205205205206
5,ldbkemd,CT,1.0,0.8948948948948949
5,ldbkemd,LDA,0.8989898989898991,0.8498498498498498
31,original,CT,1.0,0.8388388388388388
31,original,LDA,1.0,0.6486486486486486
31,ldbk,CT,1.0,0.8928928928928929
31,ldbk,LDA,0.888888888888889,0.8638638638638638
31,ldbkash,CT,1.0,0.7507507507507508
31,ldbkash,LDA,0.7171717171717171,0.5215215215215215
31,ldbkemd,CT,1.0,0.9209209209209209
31,ldbkemd,LDA,0.8989898989898991,0.8428428428428428
89,original,CT,1.0,0.8508508508508509
89,original,LDA,1.0,0.7987987987987989
89,ldbk,CT,1.0,0.9209209209209209
89,ldbk,LDA,0.9595959595959597,0.9019019019019018
89,ldbkash,CT,1.0,0.6506506506506506
89,ldbkash,LDA,0.7474747474747474,0.5535535535535535
89,ldbkemd,CT,1.0,0.9309309309309309
89,ldbkemd,LDA,0.9595959595959597,0.8968968968968968
62,original,CT,1.0,0.8508508508508509
62,original,LDA,1.0,0.7077077077077077
62,ldbk,CT,1.0,0.956956956956957
62,ldbk,LDA,0.9191919191919192,0.8928928928928929
62,ldbkash,CT,1.0,0.5565565565565566
62,ldbkash,LDA,0.6666666666666666,0.4734734734734735
62,ldbkemd,CT,1.0,0.923923923923924
62,ldbkemd,LDA,0.9292929292929294,0.8978978978978979
43,original,CT,1.0,0.8328328328328328
43,original,LDA,1.0,0.6886886886886887
43,ldbk,CT,1.0,0.8818818818818818
43,ldbk,LDA,0.8989898989898991,0.8918918918918918
43,ldbkash,CT,1.0,0.5355355355355356
43,ldbkash,LDA,0.7575757575757575,0.5285285285285285
43,ldbkemd,CT,1.0,0.906906906906907
43,ldbkemd,LDA,0.888888888888889,0.8868868868868868
90,original,CT,1.0,0.8398398398398399
90,original,LDA,1.0,0.6506506506506508
90,ldbk,CT,1.0,0.8688688688688688
90,ldbk,LDA,0.888888888888889,0.8608608608608609
90,ldbkash,CT,1.0,0.8528528528528528
90,ldbkash,LDA,0.8787878787878788,0.8668668668668668
90,ldbkemd,CT,1.0,0.866866866866867
90,ldbkemd,LDA,0.9191919191919192,0.8428428428428428
39,original,CT,1.0,0.8328328328328328
39,original,LDA,1.0,0.6886886886886887
39,ldbk,CT,1.0,0.8828828828828829
39,ldbk,LDA,0.888888888888889,0.8508508508508509
39,ldbkash,CT,1.0,0.6246246246246246
39,ldbkash,LDA,0.7474747474747474,0.5675675675675675
39,ldbkemd,CT,1.0,0.9009009009009009
39,ldbkemd,LDA,0.9090909090909092,0.8408408408408409
34,original,CT,1.0,0.841841841841842
34,original,LDA,1.0,0.7327327327327328
34,ldbk,CT,1.0,0.9179179179179179
34,ldbk,LDA,0.8989898989898991,0.8868868868868868
34,ldbkash,CT,1.0,0.6146146146146146
34,ldbkash,LDA,0.6363636363636364,0.5015015015015015
34,ldbkemd,CT,1.0,0.91991991991992
34,ldbkemd,LDA,0.9191919191919192,0.8818818818818818
44,original,CT,1.0,0.8488488488488488
44,original,LDA,1.0,0.7117117117117117
44,ldbk,CT,1.0,0.8368368368368367
44,ldbk,LDA,0.9494949494949495,0.8628628628628628
44,ldbkash,CT,1.0,0.6026026026026026
44,ldbkash,LDA,0.7474747474747474,0.4994994994994995
44,ldbkemd,CT,1.0,0.8608608608608609
44,ldbkemd,LDA,0.9393939393939394,0.8598598598598599
94,original,CT,1.0,0.8748748748748749
94,original,LDA,1.0,0.7397397397397398
94,ldbk,CT,1.0,0.8598598598598598
94,ldbk,LDA,0.8989898989898991,0.8678678678678678
94,ldbkash,CT,1.0,0.5745745745745746
94,ldbkash,LDA,0.6363636363636364,0.5725725725725725
94,ldbkemd,CT,1.0,0.9429429429429429
94,ldbkemd,LDA,0.8787878787878789,0.8748748748748748
55,original,CT,1.0,0.8178178178178177
55,original,LDA,1.0,0.6556556556556556
55,ldbk,CT,1.0,0.8818818818818818
55,ldbk,LDA,0.9393939393939394,0.8868868868868868
55,ldbkash,CT,1.0,0.7327327327327327
55,ldbkash,LDA,0.8080808080808081,0.5905905905905906
55,ldbkemd,CT,1.0,0.8758758758758759
55,ldbkemd,LDA,0.9292929292929294,0.8888888888888888
86,original,CT,1.0,0.8438438438438439
86,original,LDA,1.0,0.6486486486486486
