Experiment,Method,Classifier,"Train_MulticlassPrecision{MLJBase.MacroAvg, OrderedCollections.LittleDict}","Test_MulticlassPrecision{MLJBase.MacroAvg, OrderedCollections.LittleDict}"
55,ldbkash,LDA,0.8075594656239817,0.5845994393800202
55,ldbkemd,CT,1.0,0.8797459269812118
55,ldbkemd,LDA,0.9316017316017315,0.8991740310684535
86,original,CT,1.0,0.8589890570863987
86,original,LDA,1.0,0.6494394332424029
86,ldbk,CT,1.0,0.8479584257613842
86,ldbk,LDA,0.9011904761904762,0.907924653609751
86,ldbkash,CT,1.0,0.6846001469128247
86,ldbkash,LDA,0.7546977124183006,0.7046550617146473
86,ldbkemd,CT,1.0,0.9159438261420056
86,ldbkemd,LDA,0.9304812834224598,0.9053497942386831
17,original,CT,1.0,0.8231723256583373
17,original,LDA,1.0,0.7444575019640939
17,ldbk,CT,1.0,0.9158839065384768
17,ldbk,LDA,0.9354636591478697,0.8962856880238864
17,ldbkash,CT,1.0,0.8956906099303015
17,ldbkash,LDA,0.9699754901960784,0.9072240000407639
17,ldbkemd,CT,1.0,0.8464344699964355
17,ldbkemd,LDA,0.9314814814814815,0.8908852392453297
99,original,CT,1.0,0.8308705141273949
99,original,LDA,1.0,0.7790965576367477
99,ldbk,CT,1.0,0.9115171622421632
99,ldbk,LDA,0.9203802733214498,0.8871871274913344
99,ldbkash,CT,1.0,0.6570061979364306
99,ldbkash,LDA,0.774712643678161,0.6450779875123551
99,ldbkemd,CT,1.0,0.9202704451345756
99,ldbkemd,LDA,0.9610119047619048,0.897736232522267
71,original,CT,1.0,0.8324017199017198
71,original,LDA,1.0,0.7182825323398667
71,ldbk,CT,1.0,0.9099173042999517
71,ldbk,LDA,0.9203802733214498,0.8705736884425409
71,ldbkash,CT,1.0,0.6502137907313585
71,ldbkash,LDA,0.6907765629380431,0.5116282733421758
71,ldbkemd,CT,1.0,0.8899806945365443
71,ldbkemd,LDA,0.9306547619047619,0.858036913986797
37,original,CT,1.0,0.8223550835261242
37,original,LDA,1.0,0.6879165829759787
37,ldbk,CT,1.0,0.882750548007901
37,ldbk,LDA,0.8894087938205585,0.8678334863303878
37,ldbkash,CT,1.0,0.717271639409653
37,ldbkash,LDA,0.7228758169934641,0.5336807010463291
37,ldbkemd,CT,1.0,0.8773577240205915
37,ldbkemd,LDA,0.9004980682400037,0.8715268357725233
47,original,CT,1.0,0.8194731159642717
47,original,LDA,1.0,0.7055291233631751
47,ldbk,CT,1.0,0.8879942679962827
47,ldbk,LDA,0.9191919191919192,0.9106551862306628
47,ldbkash,CT,1.0,0.7257242555013077
47,ldbkash,LDA,0.764367816091954,0.6328401574096911
47,ldbkemd,CT,1.0,0.896778757682025
47,ldbkemd,LDA,0.9093137254901961,0.9095920252538477
9,original,CT,1.0,0.8590076583646646
9,original,LDA,1.0,0.6521646379645387
9,ldbk,CT,1.0,0.922812149906521
9,ldbk,LDA,0.9036036036036036,0.8936010336084937
9,ldbkash,CT,1.0,0.8274453256428743
