Experiment,Method,Classifier,Train_MisclassificationRate,Test_MisclassificationRate
88,ldbkash,LDA,0.10101010101010101,0.15915915915915915
88,ldbkemd,CT,0.0,0.12112112112112113
88,ldbkemd,LDA,0.1414141414141414,0.16316316316316315
93,original,CT,0.0,0.1831831831831832
93,original,LDA,0.0,0.34034034034034033
93,ldbk,CT,0.0,0.07807807807807808
93,ldbk,LDA,0.08080808080808081,0.14214214214214213
93,ldbkash,CT,0.0,0.46546546546546547
93,ldbkash,LDA,0.40404040404040403,0.5685685685685685
93,ldbkemd,CT,0.0,0.1041041041041041
93,ldbkemd,LDA,0.09090909090909091,0.14214214214214213
26,original,CT,0.0,0.23623623623623624
26,original,LDA,0.0,0.34434434434434436
26,ldbk,CT,0.0,0.06706706706706707
26,ldbk,LDA,0.1111111111111111,0.12712712712712712
26,ldbkash,CT,0.0,0.33233233233233234
26,ldbkash,LDA,0.30303030303030304,0.42242242242242245
26,ldbkemd,CT,0.0,0.0990990990990991
26,ldbkemd,LDA,0.09090909090909091,0.12712712712712712
10,original,CT,0.0,0.18518518518518517
10,original,LDA,0.0,0.3123123123123123
10,ldbk,CT,0.0,0.0940940940940941
10,ldbk,LDA,0.06060606060606061,0.15015015015015015
10,ldbkash,CT,0.0,0.4314314314314314
10,ldbkash,LDA,0.3939393939393939,0.5845845845845846
10,ldbkemd,CT,0.0,0.13313313313313313
10,ldbkemd,LDA,0.0707070707070707,0.15215215215215216
77,original,CT,0.0,0.23923923923923923
77,original,LDA,0.0,0.30930930930930933
77,ldbk,CT,0.0,0.08108108108108109
77,ldbk,LDA,0.1414141414141414,0.2172172172172172
77,ldbkash,CT,0.0,0.38538538538538536
77,ldbkash,LDA,0.26262626262626265,0.45245245245245247
77,ldbkemd,CT,0.0,0.08008008008008008
77,ldbkemd,LDA,0.08080808080808081,0.12812812812812813
24,original,CT,0.0,0.15715715715715717
24,original,LDA,0.0,0.40540540540540543
24,ldbk,CT,0.0,0.13213213213213212
24,ldbk,LDA,0.09090909090909091,0.11511511511511512
24,ldbkash,CT,0.0,0.4124124124124124
24,ldbkash,LDA,0.3333333333333333,0.5655655655655656
24,ldbkemd,CT,0.0,0.08608608608608609
24,ldbkemd,LDA,0.1111111111111111,0.12512512512512514
87,original,CT,0.0,0.1921921921921922
87,original,LDA,0.0,0.2852852852852853
87,ldbk,CT,0.0,0.15715715715715717
87,ldbk,LDA,0.0707070707070707,0.11211211211211211
87,ldbkash,CT,0.0,0.19019019019019018
87,ldbkash,LDA,0.24242424242424243,0.3933933933933934
87,ldbkemd,CT,0.0,0.16516516516516516
87,ldbkemd,LDA,0.0707070707070707,0.11211211211211211
58,original,CT,0.0,0.18218218218218218
58,original,LDA,0.0,0.3263263263263263
58,ldbk,CT,0.0,0.056056056056056056
58,ldbk,LDA,0.15151515151515152,0.12712712712712712
58,ldbkash,CT,0.0,0.32932932932932935
58,ldbkash,LDA,0.1717171717171717,0.3173173173173173
58,ldbkemd,CT,0.0,0.07807807807807808
58,ldbkemd,LDA,0.09090909090909091,0.10710710710710711
25,original,CT,0.0,0.1871871871871872
25,original,LDA,0.0,0.36736736736736736
25,ldbk,CT,0.0,0.1031031031031031
25,ldbk,LDA,0.16161616161616163,0.14314314314314314
25,ldbkash,CT,0.0,0.3213213213213213
25,ldbkash,LDA,0.29292929292929293,0.44744744744744747
25,ldbkemd,CT,0.0,0.1021021021021021
25,ldbkemd,LDA,0.1717171717171717,0.13913913913913914
23,original,CT,0.0,0.1891891891891892
23,original,LDA,0.0,0.2972972972972973
23,ldbk,CT,0.0,0.13613613613613615
23,ldbk,LDA,0.08080808080808081,0.14914914914914915
23,ldbkash,CT,0.0,0.4494494494494494
23,ldbkash,LDA,0.2727272727272727,0.36936936936936937
23,ldbkemd,CT,0.0,0.11611611611611612
23,ldbkemd,LDA,0.08080808080808081,0.13213213213213212
49,original,CT,0.0,0.16616616616616617
49,original,LDA,0.0,0.2822822822822823
49,ldbk,CT,0.0,0.10710710710710711
49,ldbk,LDA,0.030303030303030304,0.12912912912912913
49,ldbkash,CT,0.0,0.24924924924924924
49,ldbkash,LDA,0.21212121212121213,0.28428428428428426
49,ldbkemd,CT,0.0,0.10710710710710711
49,ldbkemd,LDA,0.020202020202020204,0.11211211211211211
59,original,CT,0.0,0.2182182182182182
59,original,LDA,0.0,0.3023023023023023
59,ldbk,CT,0.0,0.12212212212212212
59,ldbk,LDA,0.1111111111111111,0.13713713713713713
59,ldbkash,CT,0.0,0.4574574574574575
59,ldbkash,LDA,0.32323232323232326,0.5525525525525525
59,ldbkemd,CT,0.0,0.12712712712712712
59,ldbkemd,LDA,0.1111111111111111,0.13713713713713713
5,original,CT,0.0,0.16016016016016016
5,original,LDA,0.0,0.32232232232232233
